Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Germany,10.09688327,10.29144835,10.10056008,10.1358012,9.947493985,9.726877921,9.883407092,9.525155674,9.615747988,8.9699549,9.451565374,9.29779082,9.449949925,9.642558947,9.10678233,9.087290939,9.073006389,8.858293699,8.558389812
Djibouti,0.515624107,0.518404025,0.535513229,0.539730056,0.51840399,0.548995976,0.541184111,0.583520391,0.57572569,0.555676355,0.618904682,0.562277505,0.587465558,0.633989059,0.511846464,0.590810921,0.52738245,0.49782862,0.510989933
Dominica,1.866475233,2.152976131,1.718213058,1.997089955,2.27314703,2.266931142,2.403914138,2.542480614,2.54133194,7.05736224,2.539610875,2.397337545,3.523409533,2.393725623,2.531966072,2.528977871,2.524296352,2.378953261,2.513053919
Denmark,9.871496377,10.04892342,10.04105149,11.00810415,9.971277761,9.275879834,10.70573626,9.777644642,9.123308652,8.670862985,8.684706751,7.735291816,6.833498701,7.120299943,6.336521381,5.911867775,6.176665194,5.78145978,5.761494164
Dominican Republic,2.202727156,2.206173355,2.391984205,2.115178473,1.922124646,2.051166604,2.204219888,2.203696042,2.171688352,2.049758916,2.128906748,2.126723148,2.179053775,2.11480116,2.097355463,2.280756783,2.352434731,2.224840963,2.363757648
Algeria,2.531711792,2.377310115,2.524241794,2.598549059,2.596647581,2.684487229,2.786777459,2.942022144,2.994189217,3.191554214,3.144747525,3.222459523,3.387554626,3.406123235,3.566208834,3.674232947,3.535019927,3.505747662,3.591657418
East Asia & Pacific (excluding high income),2.27399406,2.37555836,2.525412715,2.85847122,3.243068857,3.602354556,3.909698378,4.190679738,4.284171526,4.514617596,4.905964443,5.303513307,5.402903642,5.560037957,5.531295897,5.485853728,5.457489305,5.538054938,5.692966704
Early-demographic dividend,1.560984792,1.56824423,1.592868602,1.629521995,1.689527909,1.734342642,1.79669607,1.882785912,1.930507152,1.959265712,2.01910782,2.065930584,2.131382799,2.125598135,2.203573699,2.194776637,2.199832227,2.247696677,2.27814572
East Asia & Pacific,3.16843593,3.259852218,3.409225734,3.717593082,4.084304076,4.413761948,4.690112274,4.976091688,5.032380069,5.221767283,5.629335017,6.03338434,6.140533879,6.282522892,6.221853048,6.169123176,6.140696976,6.210897145,6.333951297
Europe & Central Asia (excluding high income),6.642567475,6.623946572,6.705821987,6.943980995,6.986193767,6.98401667,7.302919151,7.407395591,7.540513115,6.881827327,7.228299907,7.600183593,7.535649836,7.341913267,7.082278352,6.847536465,6.877673952,6.974274751,7.074186513
Europe & Central Asia,7.482233767,7.536590026,7.534541456,7.736437694,7.746773263,7.700595246,7.830302915,7.791847224,7.728847371,7.102229887,7.368814379,7.364106235,7.290740866,7.108912056,6.768822481,6.694389172,6.685451312,6.72214357,6.690480926
Ecuador,1.685181983,1.813443017,1.794808294,1.792114963,1.86961392,1.963714462,2.070503967,2.069030061,2.083141278,2.195011213,2.308289711,2.328802664,2.367181443,2.510270112,2.582775445,2.511716305,2.365516075,2.249579931,2.3138123
"Egypt, Arab Rep.",1.639654809,1.781970868,1.786947211,1.80210112,1.92376988,2.126355881,2.200103104,2.329350025,2.374802949,2.409447321,2.374299739,2.385091523,2.457816414,2.380304602,2.395917008,2.444220788,2.477154638,2.474943902,2.502042142
Euro area,8.193095564,8.307852,8.281611084,8.412114548,8.407040018,8.337927388,8.250444284,8.097066507,7.886537039,7.271241416,7.441198787,7.179990668,7.077063508,6.914721029,6.523711594,6.646295189,6.617182762,6.613176931,6.454837567
Eritrea,0.279181805,0.29477147,0.274076513,0.265285439,0.250017556,0.212265177,0.178191487,0.170196293,0.146925246,0.150644888,0.157706966,0.180462226,0.193839951,0.198082983,0.205348482,0.194446721,0.195465323,0.210964653,0.231696216
Spain,7.230107062,7.216328687,7.548593756,7.553396261,7.817921366,8.029202013,7.698212588,7.842252303,7.053994261,6.200857038,5.866642426,5.87043576,5.756947029,5.208060181,5.18406686,5.517944386,5.314294607,5.654039569,5.5203504
Estonia,10.60856058,11.01493752,10.77319027,12.27821875,12.41789292,12.63678471,11.7982492,14.80591938,13.67895953,11.21006508,14.17976304,13.59761164,12.68621059,14.55997244,13.55602128,11.68459648,11.89399524,12.35782429,12.103085
Ethiopia,0.053756289,0.064554538,0.065153462,0.069557428,0.071794657,0.06614596,0.06879927,0.075240774,0.082975305,0.081305656,0.07382477,0.083647726,0.09123558,0.107772863,0.125695423,0.127732852,0.144300199,0.145300853,0.149050931
European Union,7.831506747,7.951092724,7.916832032,8.102731053,8.084480756,8.010662536,8.002438546,7.883806504,7.682107735,7.097331958,7.281549193,7.072379569,6.927204679,6.742973717,6.400223817,6.516388833,6.51892253,6.559142922,6.424038741
Fragile and conflict affected situations,0.879276031,0.905070309,0.894082821,0.855964176,0.857504049,0.932185056,0.885043709,0.854549086,0.884775167,0.873336074,0.913330587,0.900283901,0.936360375,0.941897371,0.952647594,0.88060785,0.863007498,0.858046834,0.868444604
Finland,10.64485611,11.77523242,12.19859716,13.75595769,12.94525123,10.57167082,12.72627979,12.3092166,10.66360723,10.14821298,11.6587537,10.22962464,9.126388006,9.227846733,8.451871936,7.814537412,8.318012674,7.808338601,8.04275205
Fiji,1.048074564,1.326906845,1.128478504,1.32340291,1.785137871,1.557924358,1.65485119,1.506843581,1.135616237,1.136315713,1.349125859,1.285539075,1.190661973,1.305449849,1.511921676,1.738365614,1.99448422,2.062772092,2.150561976
France,6.12747794,6.142043233,6.005475326,6.054152566,6.027439546,6.027601801,5.840804198,5.669031385,5.564429,5.314414422,5.350658925,5.104312275,5.12231119,5.10055617,4.592376829,4.666086597,4.686612202,4.727575622,4.619241205
"Micronesia, Fed. Sts.",1.210371957,1.399645423,1.308081138,1.49669791,1.50060024,1.507514015,1.328600983,1.340456904,1.158871645,1.262491381,1.068832835,1.160003093,1.243947716,1.321727309,1.303004356,1.377587569,1.542439777,1.525197154,1.598011364
Gabon,3.801820152,3.640676371,3.360992308,3.325893635,3.272299651,3.329617777,2.824890361,2.750303043,2.719721206,2.676992208,2.936928084,3.347918147,3.332043571,3.136918225,2.919628984,2.813589432,2.843792613,2.276236287,2.175272204
United Kingdom,9.001483618,9.209793836,8.930869498,9.088047281,9.040489079,8.950152419,8.901697739,8.62913807,8.322844364,7.468655396,7.67592643,7.025424601,7.332471327,7.064902559,6.421598191,6.148544958,5.774741668,5.546265944,5.398708138
Georgia,1.169940333,0.876849261,0.74399619,0.79964856,0.858087153,1.086491654,1.211231882,1.458489523,1.25764951,1.473356755,1.404919065,1.735685453,1.928196018,2.108848881,2.277240447,2.469615674,2.58886306,2.583151735,2.538541691
Ghana,0.297735601,0.314320105,0.36648534,0.343609358,0.311202422,0.321802121,0.376691475,0.394096032,0.363268589,0.411651296,0.449966654,0.480941312,0.546997679,0.564123667,0.527833773,0.543283052,0.495401526,0.507529429,0.541201382
Guinea,0.180809115,0.186525449,0.189842229,0.194216973,0.19830313,0.201985052,0.204138182,0.208023421,0.206391016,0.212755922,0.245286381,0.251428464,0.233758216,0.200131812,0.200879385,0.222181479,0.241088377,0.246115273,0.251323233
