Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Djibouti,768.18,780.90,791.38,818.87,863.24,904.74,967.68,1052.72,1223.85,1267.32,1343.28,1451.55,1559.24,2312.72,2464.29,2658.95,2802.17,2914.36,3141.86
Dominica,4787.80,4883.00,4770.85,4897.31,5216.87,5160.89,5518.42,5951.86,6468.94,6903.15,6967.36,7065.46,6849.46,7016.38,7317.49,7597.29,8080.97,7274.52,7687.46
Denmark,30743.55,30751.65,33228.69,40458.78,46511.60,48799.83,52027.00,58487.05,64322.06,58163.28,58041.40,61753.65,58507.51,61191.19,62548.98,53254.86,54664.00,57610.10,61591.93
Dominican Republic,2869.18,2977.43,3110.33,2418.35,2487.33,3932.78,4109.03,4707.80,5087.98,5039.40,5555.39,5913.43,6110.37,6238.13,6608.83,6921.52,7280.88,7609.35,8050.64
Algeria,1765.03,1740.61,1781.83,2103.38,2610.19,3113.09,3478.71,3950.51,4923.63,3883.27,4480.79,5455.68,5592.22,5499.59,5493.06,4177.89,3946.45,4109.70,4142.02
East Asia & Pacific (excluding high income),954.90,1007.58,1105.21,1239.38,1426.52,1639.19,1958.52,2457.16,3084.88,3321.88,3997.01,4850.33,5365.24,5870.79,6277.73,6488.67,6575.51,7131.63,7924.23
Early-demographic dividend,1367.83,1332.24,1273.35,1393.67,1596.39,1831.76,2059.48,2400.68,2666.20,2534.64,3026.31,3270.24,3371.76,3375.25,3443.02,3229.30,3257.39,3473.46,3452.38
East Asia & Pacific,4089.24,3769.35,3796.93,4141.93,4610.66,4882.91,5137.18,5699.92,6525.46,6669.32,7717.81,8886.95,9432.51,9463.49,9686.88,9579.47,9845.91,10442.86,11297.71
Europe & Central Asia (excluding high income),1787.93,1777.26,2037.88,2569.42,3399.63,4307.04,5279.34,6826.28,8430.33,6595.34,7836.43,9626.44,10149.01,10717.66,9927.56,7557.50,7189.29,8026.77,8213.36
Europe & Central Asia,11683.48,11785.37,12887.39,15628.77,18159.70,19260.75,20795.91,24217.70,26535.41,23247.40,23680.23,26191.56,25132.48,26147.64,26388.16,22624.87,22455.07,23704.24,25297.60
Ecuador,1445.28,1894.62,2172.10,2425.85,2691.28,3002.14,3328.88,3567.84,4249.02,4231.62,4633.59,5200.56,5682.05,6056.33,6377.09,6124.49,6060.09,6213.50,6295.93
"Egypt, Arab Rep.",1450.48,1378.20,1191.10,1102.47,1062.16,1186.39,1397.44,1667.32,2044.53,2331.27,2645.97,2791.81,3229.69,3262.66,3379.56,3562.93,3519.87,2444.29,2537.13
Euro area,20215.63,20450.67,22213.42,27194.45,31006.78,31949.48,33796.54,38717.27,42355.16,38580.85,37605.90,40657.60,37595.88,39120.33,39912.44,34388.28,35163.63,37153.65,40057.69
Spain,14749.69,15369.00,17106.69,21510.84,24907.00,26429.15,28389.08,32591.35,35510.72,32169.50,30532.48,31677.90,28322.81,29067.81,29500.79,25742.37,26523.35,28170.17,30364.58
Estonia,4070.61,4505.86,5341.63,7203.52,8914.10,10412.64,12639.40,16744.58,18204.97,14711.74,14663.04,17487.80,17403.21,19056.00,20261.07,17402.04,18295.34,20437.77,23063.56
Ethiopia,124.46,120.77,111.93,119.49,136.47,162.43,194.69,244.29,326.44,380.57,341.55,354.48,467.08,499.53,566.93,640.54,717.12,768.52,771.52
European Union,16947.62,17199.11,18761.14,22968.35,26308.68,27344.67,29093.78,33591.39,37050.45,33484.21,32970.72,35756.33,33158.89,34578.05,35286.12,30485.03,31186.63,33093.77,35752.23
Fragile and conflict affected situations,875.75,841.30,797.80,806.37,989.18,1208.96,1453.25,1730.69,2155.12,2005.83,2296.71,2042.13,2249.30,2281.14,2414.42,1878.71,1656.74,1657.34,1770.23
Finland,24345.91,24967.79,26997.75,32927.68,37772.18,39054.85,41222.60,48476.39,53772.79,47481.48,46505.30,51148.93,47708.06,49892.22,50327.24,42801.91,43814.03,46412.14,49988.91
Fiji,2069.32,2030.25,2248.71,2818.91,3311.16,3627.63,3715.93,4040.15,4167.69,3362.82,3652.54,4371.45,4591.58,4840.73,5605.61,5390.71,5651.27,6101.02,6317.41
France,22419.69,22452.98,24292.58,29633.68,33803.31,34773.15,36474.16,41561.20,45519.30,41740.24,40677.99,43848.11,40872.36,42605.04,43068.55,36652.92,37062.53,38781.05,41592.80
Faroe Islands,22651.86,24418.70,26731.66,31493.32,35467.18,36198.54,41521.68,47885.70,50863.95,47441.92,48541.40,52092.60,49459.72,54843.32,59433.83,52400.30,56854.10,59993.09,62918.15
"Micronesia, Fed. Sts.",2171.89,2248.49,2265.94,2295.87,2253.11,2358.15,2406.11,2458.66,2541.26,2721.98,2885.31,3009.26,3131.39,2994.79,2971.51,2906.62,3014.70,3289.64,3568.29
Gabon,4135.99,3993.03,4141.43,4933.46,5739.61,6891.36,7221.37,8458.31,10254.17,7721.02,8849.32,10809.68,9813.51,9683.58,9663.42,7384.70,6984.42,7230.43,7959.01
United Kingdom,28223.07,27806.45,30049.90,34487.47,40371.71,42132.09,44654.10,50653.26,47549.35,38952.21,39688.61,42284.88,42686.80,43713.81,47787.24,45404.57,41499.56,40857.76,43646.95
Georgia,749.91,801.99,853.52,1010.01,1305.05,1642.76,1996.06,2635.35,3324.74,2822.67,3233.30,4021.74,4421.82,4623.75,4739.19,4014.19,4062.17,4357.00,4722.79
Ghana,258.47,269.01,304.56,367.82,417.51,492.54,913.39,1081.17,1217.06,1077.66,1299.35,1549.46,1587.56,2361.09,2012.26,1774.07,1971.96,2074.29,2260.86
